customer_state,total_orders,avg_product_value_per_order,avg_freight_per_order,state_aov
PB,517,217.77,48.84,266.61
AC,80,199.14,45.55,244.69
AP,67,199.62,41.3,240.92
AL,397,198.63,38.58,237.21
RO,243,187.99,46.43,234.43
PA,946,184.43,39.7,224.13
PI,476,177.99,42.98,220.96
RR,41,172.13,48.34,220.48
TO,274,176.65,42.35,219.0
RN,474,173.22,39.26,212.48
SE,335,168.88,40.94,209.82
CE,1279,171.82,36.5,208.32
MA,717,163.19,42.95,206.14
MT,886,171.77,32.77,204.54
PE,1593,158.12,35.83,193.96
MS,701,164.66,27.02,191.68
AM,145,152.8,37.45,190.24
BA,3256,151.59,29.96,181.55
GO,1957,144.53,26.25,170.78
SC,3546,142.98,24.85,167.83
RJ,12350,142.48,23.95,166.43
DF,2080,142.55,23.86,166.41
RS,5345,136.37,24.8,161.17
MG,11354,136.73,23.46,160.2
ES,1995,134.66,24.57,159.23
PR,4923,135.3,23.49,158.79
SP,40501,125.12,17.33,142.46
