customer_state,total_revenue,total_orders
SP,5769703.15,40501
RJ,2055401.57,12350
MG,1818891.67,11354
RS,861472.79,5345
PR,781708.8,4923
SC,595127.78,3546
BA,591137.81,3256
DF,346123.35,2080
GO,334212.35,1957
ES,317657.93,1995
PE,308972.05,1593
CE,266436.77,1279
PA,212023.57,946
MT,181224.42,886
MA,147803.55,717
PB,137838.55,517
MS,134367.55,701
PI,105178.19,476
RN,100714.78,474
AL,94172.49,397
SE,70289.13,335
TO,60007.37,274
RO,56966.0,243
AM,27585.47,145
AC,19575.33,80
AP,16141.81,67
RR,9039.52,41
